phase,name,type,version,layer,role,connects_to,interfaces,source,repo_url,crate_url,direct_dependencies,dependency_count_est,language_or_stack,deployment_form,maturity,license,last_verified_year,notes,status,gap_or_conflict,conflicts_with,missing_depends_on,priority,rationale,selected_primary,option_2,option_3,decision_notes,dependencies,reverse_dependencies,ecosystem,tags,security_notes
Phase 3: Swarm/Identity/Policy + Distributed Runtime,bitchat-qudag,crate,0.1.0,L3: Swarm/Messaging,"BitChat messaging integration for QuDAG, including WASM target support",qudag-network; libp2p; gateway ingress/egress,Rust API,https://crates.io/crates/bitchat-qudag,,https://crates.io/crates/bitchat-qudag,snow,1.0,Rust,crate,,,2025.0,Dependencies partial.,candidate,ok,,,P2,,option_2,,,Treat as a candidate application-layer protocol on top of QuDAG network stack.,qudag-core; serde; wasm-bindgen,None listed,rev.io / QuDAG direction,"qudag,messaging,wasm,p2p",
Phase 2: Core runtime + MCP/tooling,agentic-jujutsu,crate,1.0.1,L2: DevOps/Change Control,AI-powered Jujutsu VCS wrapper for multi-agent collaboration; MCP-oriented workflow integration,jj/jj-vcs; A/B update workflows; policy + provenance,Rust API; MCP integration (crate-level); VCS operations,https://crates.io/crates/agentic-jujutsu,,https://crates.io/crates/agentic-jujutsu,,,Rust,crate,,,2025.0,Claims 10-100x faster concurrent ops and MCP support; treat performance/security claims as unverified until benchmarked.,candidate,ok,direct jj CLI tooling (duplicate integration path),,P1,Lets agents manipulate jj programmatically; could standardize code-change ops as tools in the QuDAG+agentgateway stack.,yes,,,Primary VCS control plane candidate for agentic A/B change streams; pairs with jj and provenance chain.,See crates.io dependencies page (needs script pass for full closure),Not enumerated (script pass will resolve),rev.io / QuDAG direction,"vcs,jj,mcp,ab-updates",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-mcp,crate,0.5.0,L3: MCP Server,MCP server integrating QuDAG vault and exchange operations,agentgateway; tool layer; provider adapters,Rust API,https://crates.io/crates/qudag-mcp,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-mcp,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,Overlapping solutions in same layer; select one primary implementation to avoid duplicated glue and divergent schemas.,option_2,,,Expose QuDAG ops to agents via MCP; must be gated by policy/capability tokens.,qudag-exchange; qudag-vault-core; serde_json,None listed,rev.io / QuDAG direction,"mcp,server,qudag",MCP endpoints must be strongly authenticated and least-privileged.
Phase 3: Swarm/Identity/Policy + Distributed Runtime,micro_swarm,crate,0.2.0,L3: Swarm/Orchestration,Swarm orchestration for micro-neural agent networks,libp2p/qudag-network; gateway,Rust API,https://crates.io/crates/micro_swarm,,https://crates.io/crates/micro_swarm,,,Rust,crate,,,2025.0,Dependencies not extracted (JS-blocked).,candidate,needs-decision,swarms-rs / daa-orchestrator / agents-runtime,,P2,,option_3,,,Overlaps with swarms-rs/daa-orchestrator; avoid multiple swarm runtimes.,micro_core; micro_routing; serde,None listed,rev.io / QuDAG direction,"swarm,orchestration",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-memory,crate,1.0.0,L4: Trading/Memory,Hierarchical memory system with caching tiers,agent memory plane,Rust API,https://crates.io/crates/nt-memory,,https://crates.io/crates/nt-memory,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,portability-risk,offline-only preference; redis requirement,,P3,,option_3,,,"Memory concepts are relevant, but Redis dependency hurts offline-first. Keep as reference.",nt-core; redis; moka; serde,None listed,rev.io / QuDAG direction,"memory,cache,redis",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-vault-core,crate,0.5.1,L3: Secrets/Vault,Password vault library secured with PQ crypto,secret store; agent credentials; signing keys,Rust API,https://crates.io/crates/qudag-vault-core,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-vault-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Use as a secrets backend or reference; must integrate with OS keystore/capabilities.,qudag-crypto; argon2; serde,qudag-mcp,rev.io / QuDAG direction,"vault,secrets,crypto","Key management is existential; must support rotation, recovery, audit, and hardware-backed options."
Phase 3: Swarm/Identity/Policy + Distributed Runtime,daa-orchestrator,crate,0.2.0,L3: Orchestration/Core,Core engine orchestrating autonomy loops and agent behavior,policy; scheduler; tools; memory,Rust API,https://crates.io/crates/daa-orchestrator,https://github.com/ruvnet/daa,https://crates.io/crates/daa-orchestrator,,,Rust,crate,,,2025.0,,candidate,ok,,,P1,Overlapping solutions in same layer; select one primary implementation to avoid duplicated glue and divergent schemas.,option_2,,,Candidate orchestrator family. Decide vs agents-runtime/swarms-rs/rigs.,daa-core; daa-ai; daa-chain; daa-economy,daa-cli,rev.io / QuDAG direction,"orchestrator,daa",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,daa-ai,crate,0.2.1,L3: Orchestration/AI Adapter,AI integration layer for DAA system with MCP support,MCP; agent runtime; policy,Rust API,https://crates.io/crates/daa-ai,https://github.com/ruvnet/daa,https://crates.io/crates/daa-ai,,,Rust,crate,,,2025.0,,candidate,needs-decision,agents-runtime / swarms-rs duplication,,P1,,option_2,,,Candidate orchestration stack; overlaps with agents-* and swarms-rs—pick one primary orchestrator family.,daa-core; mcp-sdk-rs; serde; tokio,daa-orchestrator,rev.io / QuDAG direction,"daa,mcp,orchestration",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,daa-chain,crate,0.2.0,L3: Orchestration/Chain,Blockchain abstraction layer for DAA system (multi-chain connectivity),payments; governance; provenance,Rust API,https://crates.io/crates/daa-chain,https://github.com/ruvnet/daa,https://crates.io/crates/daa-chain,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only if chain integration is needed in the near term.,ethers; serde; daa-core,daa-orchestrator,rev.io / QuDAG direction,"daa,blockchain",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,daa-rules,crate,0.2.1,L3: Policy/Rules,Policy enforcement engine for DAA system (rule-based governance),cedar-policy; agent-policy,Rust API,https://crates.io/crates/daa-rules,,https://crates.io/crates/daa-rules,,,Rust,crate,,,2025.0,,candidate,needs-eval,cedar-policy overlap,,P2,,option_2,,,Map to Cedar or define clear separation to avoid policy duplication.,daa-core; serde; nom,daa-orchestrator,rev.io / QuDAG direction,"policy,rules,daa",
