Task,Priority,Complexity,Dependencies,Description
Setup Tauri v2 Project,High,Medium,None,"Initialize Tauri v2 project structure with cargo workspace. Configure tauri.conf.json for desktop app. Setup build pipeline and development workflow."
Install Dioxus Framework,High,Low,Setup Tauri v2 Project,"Add Dioxus to project dependencies. Configure Dioxus for Tauri integration. Setup hot-reload for development."
Port Event System to Rust,High,High,Install Dioxus Framework,"Implement EventStream with tokio::sync::broadcast. Port all event types to Rust enums with serde. Create event factory and subscription system."
Implement Event Store (sqlx),High,Medium,Port Event System to Rust,"Setup sqlx with PostgreSQL. Migrate Prisma schema to sqlx migrations. Implement save/load/list/delete operations for event logs."
Create AIProvider Trait,High,Medium,Port Event System to Rust,"Define async_trait for AIProvider. Create trait methods: stream_chat generate_widget analyze_code. Setup provider factory pattern."
Implement Mock Provider (Rust),Medium,Low,Create AIProvider Trait,"Port MockAIProvider to Rust. Simulate token streaming with tokio::time::sleep. Generate mock widgets and code analysis."
Integrate ruvllm,High,High,Create AIProvider Trait,"Add ruvllm dependencies. Implement RuvllmProvider with VllmEngine. Setup async streaming with VLLM. Configure model loading and inference."
Integrate Rig Framework,Medium,High,Create AIProvider Trait,"Add rig-core dependencies. Implement RigProvider using rig::providers. Setup completion streaming. Configure multiple model backends."
Integrate candle-vllm,High,High,Create AIProvider Trait,"Add candle-core and candle-vllm dependencies. Implement CandleProvider with local model loading. Setup pure Rust inference pipeline. Optimize for CPU/GPU."
Port TextBlock Widget,Medium,Medium,Install Dioxus Framework,"Convert TextBlock React component to Dioxus. Implement markdown rendering with pulldown-cmark. Style with Tailwind or inline styles."
Port CodeBlock Widget,Medium,Medium,Port TextBlock Widget,"Convert CodeBlock to Dioxus. Implement syntax highlighting with syntect. Add copy-to-clipboard functionality with clipboard crate."
Port StatusIndicator Widget,Low,Low,Port TextBlock Widget,"Convert StatusIndicator to Dioxus. Implement status icons and colors. Add animation support with CSS or Dioxus animations."
Port SimpleChart Widget,Medium,High,Port TextBlock Widget,"Convert SimpleChart to Dioxus. Evaluate charting options: plotters egui charming. Implement bar and line chart types with interactive features."
Implement Widget Registry (Dioxus),High,Medium,Port TextBlock Widget,"Port WidgetRegistry to Dioxus. Use HashMap for widget storage. Implement dynamic widget rendering with match statements. Handle mount/update/unmount lifecycle."
